dataset,n,M,metodo,tiempo
min-cant,20,10,BT-O,0.205414
min-cant,21,11,BT,0.006538
min-cant,21,11,BT-F,0.004387
min-cant,21,11,BT-O,0.497933
min-cant,22,11,BT,0.00809
min-cant,22,11,BT-F,0.00479
min-cant,22,11,BT-O,0.619893
min-cant,23,12,BT,0.004698
min-cant,23,12,BT-F,0.00345
min-cant,23,12,BT-O,0.977237
min-cant,24,12,BT,0.00731
min-cant,24,12,BT-F,0.003732
min-cant,24,12,BT-O,1.45304
min-cant,25,13,BT,0.009584
min-cant,25,13,BT-F,0.006649
min-cant,25,13,BT-O,2.52037
min-cant,26,13,BT,0.00788
min-cant,26,13,BT-F,0.004456
min-cant,26,13,BT-O,4.14971
min-cant,27,14,BT,0.00629
min-cant,27,14,BT-F,0.005465
min-cant,27,14,BT-O,5.44022
min-cant,28,14,BT,0.008605
min-cant,28,14,BT-F,0.006306
min-cant,28,14,BT-O,9.40669
min-cant,29,15,BT,0.009111
min-cant,29,15,BT-F,0.006886
min-cant,29,15,BT-O,15.3312
min-cant,30,15,BT,0.011068
min-cant,30,15,BT-F,0.008371
min-cant,30,15,BT-O,24.5206
min-cant,31,16,BT,0.012094
min-cant,31,16,BT-F,0.007284
min-cant,31,16,BT-O,40.8179
min-cant,32,16,BT,0.010129
min-cant,32,16,BT-F,0.007128
min-cant,32,16,BT-O,65.3122
min-cant,33,17,BT,0.019673
min-cant,33,17,BT-F,0.010315
min-cant,33,17,BT-O,103.719
min-cant,34,17,BT,0.01496
min-cant,34,17,BT-F,0.009593
min-cant,34,17,BT-O,168.546
min-cant,35,18,BT,0.020502
min-cant,35,18,BT-F,0.0105
min-cant,35,18,BT-O,273.456
min-cant,36,18,BT,0.025396
min-cant,36,18,BT-F,0.013411
min-cant,36,18,BT-O,434.8
min-cant,37,19,BT,0.023535
min-cant,37,19,BT-F,0.015544
min-cant,37,19,BT-O,737.104
min-cant,38,19,BT,0.027325
min-cant,38,19,BT-F,0.021079
min-cant,38,19,BT-O,1179.75
min-cant,39,20,BT,0.023566
min-cant,39,20,BT-F,0.011539
min-cant,39,20,BT-O,2178.4
min-cant,40,20,BT,0.019904
min-cant,40,20,BT-F,0.011472
min-cant,40,20,BT-O,3750.09
min-cant,41,21,BT,0.067599
min-cant,41,21,BT-F,0.043698
min-cant,41,21,BT-O,4896.31
min-cant,42,21,BT,0.052405
min-cant,42,21,BT-F,0.028798
min-cant,42,21,BT-O,8907.7
min-cant,43,22,BT,0.024049
min-cant,43,22,BT-F,0.015804
min-cant,43,22,BT-O,14342.5
min-cant,44,22,BT,0.026429
